audioID,speakerID,gender,grade,paragraphID,manualTranscript,SNR_dB
5b33c_EN-OL-RC-538_2,5b33c,Male,5,2,if you look at pictures of butterflies you will find that many of them have large black circles on their wings this look like this eyes are very useful to the butterfly they help it to escape from its enemies a bird of or a लिजाड which is trying to catch a butterfly mistakes these black circles for the क्रिएचर्स eyes it aims or tries to hit the eye but all that it gets is a bit of the wing,25.68
5b27c_EN-OL-RC-538_1,5b27c,Male,5,1,butterflies are surely some of the most beautiful क्रिएचर्स in the world they are beautiful because of the brilliant colours of their wings if you look at a butterfly's wings through a मॅनीफाइंग ग्ला मॅनि flying गा glass you will see that they are covered with very small scales it is these scales which have colour without these scales the wings would be transparent the colours of the wings make way very fine patterns,54.67
5a11d_EN-OL-RC-538_2,5a11d,Male,5,2,if you look at pictures of butterflies you will find that many of them have large black circles on their wings these look like eyes this eyes are very useful to the butterfly they help it to escape from its enemies a bird or a लिजाड which is trying to catch a butterfly mistakes these in black circles for the क्रिएचर्स eyes they it aims to it aims or tries to hit the eye but all that it gets is a bite of the wing,91.56
5b16g_EN-OL-RC-538_1,5b16g,Male,5,1,butterflies are surely some of the most beautiful creatures in the world they are beautiful because of the be brilliant colours of their wings if you look at a butterfly's wings through a magnifying glass you will see that they are covered with very small scales it is these scales which have colour without these scales the wings would be transparent the colours on the wings make very fine patterns,78.07
5c7c_EN-OL-RC-538_2,5c7c,Female,5,2,if you लू at if you look at they picture of the butterflies you will find that many of them have large black circles on they wings these look like eyes these these eyes are very useful to the butterfly they help it to escape from its enemies a bird or a लिजार्ड which is trying to catch the a butterfly mistakes these black circles for the क्रिएचर्स eyes it aims to tries to hit the eye but all that is gets a big a bit of the wing,79.25
5b17f_EN-OL-RC-538_1,5b17f,Female,5,1,butterflies are surely some of the most beautiful क्रिएचर्स in the world they are beautiful because of the brilliant colours of their wings if you look at a butterfly wings through a magnifying glass you will see that he they are covered with very small snails it it is these snails which have colour without these nails the wings would be transparent the colours on the wings make very fine patterns,71.97
5b36f_EN-OL-RC-538_2,5b36f,Male,5,2,if you look at the picture of butterflies you will find that many them have large black circles on their wings this look like eyes this is eyes are very useful to the butterfly butterfly they help in to escape from its enemies a bird or लिज़ार्ड which is a trying to catch a butterfly mistake butterfly mistakes these black circles of the क्रिएचर eyes क्रेचर्स eyes its aims to tries to hit the eye but all that the gets is a bit of the wing,84.05
5a2k_EN-OL-RC-538_1,5a2k,Male,5,1,butterflies are surely some of the most beautiful क्रिएचर in the world they are beautiful because of the brilliant colours of their wings if you look at a butterfly's wings throw a magnify glass you will see that they are कवर्ल्ड with very small skills it is this scales which have colour विथाउट they scales the wings would be transparent the colour on the wings make very fine patterns,75.57
5a11j_EN-OL-RC-538_1,5a11j,Male,5,1,butterflies are surely some of the most beautiful क्रेचर्स in the world they are beautiful because of the colour of their world wings if you look at a butterflies wing throw a flying glass you will see that they are covered with very small it is this which have colour without this class the wing wings would be transparent the colour of the wings make very fine pattern patterns,98.3
5b16f_EN-OL-RC-538_1,5b16f,Female,5,1,butterflies are surely some of the most beautiful creatures in the word they are beautiful because of the brilliant colours of their wings if you look at the butterfly's wings throw a mean meaning many मेनीफलाइस glasses you will she अ fee at they are कवरेड with the very small scales it is this classes which have colour without this scales in the wings would be transparent the colours on the wings make very fine patterns,55.4
5a11d_EN-OL-RC-538_1,5a11d,Male,5,1,butter flies are सरली ऑ some of the most beautiful क्रिएचर्स in the world they are beautiful because of the ब्री brilliant colours of their wings if you look at a butterfly's wings throw the magnifying glass you will see that they are covered with very small caves it is there scale which have colour without these scales the wings would be transparent the colours on the wings make very fine patterns,95.77
5a13k_EN-OL-RC-538_1,5a13k,Female,5,1,butterflies are surely some of the most beautiful creatures in the world they are beautiful because of the brilliant colours of their wings if you look at a butterfly's wings throw a माइग्नीफ्लाइंग glasses you will see that they are covered with very small scales it is these scales which have colour without these scales the wings would be transparent the colours on the wings make very fine patterns,42.75
5c37b_EN-OL-RC-538_1,5c37b,Male,5,1,butterfly are say सरेली some of the most beautiful creators in the world they are beautiful becomes of the brilliant colours of their wings if you look at a butterfly butterfly's wings thought the मेनीफिंग grass you will see that they are covered with very smell कॅशल it is these scales,100.0
