SpeakerID,Filename,SNR_dB
5,5b33c_EN-OL-RC-538_2.wav,25.68
5,5b27c_EN-OL-RC-538_1.wav,54.67
5,5a11d_EN-OL-RC-538_2.wav,91.56
5,5b16g_EN-OL-RC-538_1.wav,78.07
5,5c7c_EN-OL-RC-538_2.wav,79.25
5,5b17f_EN-OL-RC-538_1.wav,71.97
5,5b36f_EN-OL-RC-538_2.wav,84.05
5,5a2k_EN-OL-RC-538_1.wav,75.57
5,5a11j_EN-OL-RC-538_1.wav,98.3
5,5b16f_EN-OL-RC-538_1.wav,55.4
5,5a11d_EN-OL-RC-538_1.wav,95.77
5,5a13k_EN-OL-RC-538_1.wav,42.75
5,5c37b_EN-OL-RC-538_1.wav,100.0
5,5b38g_EN-OL-RC-538_2.wav,54.77
5,5b29c_EN-OL-RC-538_2.wav,87.35
5,5a25k_EN-OL-RC-538_1.wav,27.29
5,5c4b_EN-OL-RC-538_2.wav,89.27
5,5d51g_EN-OL-RC-538_2.wav,52.74
5,5b36k_EN-OL-RC-538_2.wav,83.64
5,5c30b_EN-OL-RC-538_2.wav,92.05
5,5a21g_EN-OL-RC-538_2.wav,24.42
5,5a49c_EN-OL-RC-538_2.wav,80.08
5,5a51c_EN-OL-RC-538_2.wav,58.88
5,5a3f_EN-OL-RC-538_1.wav,80.41
5,5a4j_EN-OL-RC-538_1.wav,94.22
5,5a44d_EN-OL-RC-538_2.wav,100.0
5,5d13c_EN-OL-RC-538_2.wav,95.2
5,5a17a_EN-OL-RC-538_2.wav,47.71
5,5a16k_EN-OL-RC-538_1.wav,30.68
5,5a17a_EN-OL-RC-538_1.wav,41.21
5,5b51c_EN-OL-RC-538_1.wav,52.19
5,5a4c_EN-OL-RC-538_2.wav,86.0
5,5a67j_EN-OL-RC-538_1.wav,57.39
5,5a1g_EN-OL-RC-538_1.wav,31.7
5,5a22a_EN-OL-RC-538_1.wav,63.44
5,5d28c_EN-OL-RC-538_2.wav,90.03
5,5b50c_EN-OL-RC-538_2.wav,31.76
5,5c30a_EN-OL-RC-538_2.wav,61.24
5,5a3a_EN-OL-RC-538_2.wav,80.18
5,5a41k_EN-OL-RC-538_1.wav,37.19
5,5d12c_EN-OL-RC-538_1.wav,81.38
5,5a23c_EN-OL-RC-538_2.wav,79.6
5,5b25f_EN-OL-RC-538_1.wav,74.86
5,5b7k_EN-OL-RC-538_2.wav,33.7
5,5b41f_EN-OL-RC-538_2.wav,100.0
5,5d12c_EN-OL-RC-538_2.wav,69.26
5,5c26c_EN-OL-RC-538_1.wav,97.85
5,5a11j_EN-OL-RC-538_2.wav,78.23
5,5a33h_EN-OL-RC-538_1.wav,94.32
5,5a7k_EN-OL-RC-538_1.wav,26.47
5,5d24c_EN-OL-RC-538_1.wav,95.08
5,5b37a_EN-OL-RC-538_1.wav,92.18
5,5c17c_EN-OL-RC-538_1.wav,83.62
5,5b4a_EN-OL-RC-538_1.wav,57.2
5,5a29k_EN-OL-RC-538_2.wav,56.26
5,5b1c_EN-OL-RC-538_2.wav,82.93
5,5a44k_EN-OL-RC-538_1.wav,60.87
5,5a14k_EN-OL-RC-538_1.wav,89.54
5,5b6c_EN-OL-RC-538_1.wav,59.29
5,5a43c_EN-OL-RC-538_1.wav,97.17
5,5a40c_EN-OL-RC-538_2.wav,62.86
5,5a32f_EN-OL-RC-538_1.wav,43.86
5,5a15j_EN-OL-RC-538_1.wav,51.48
5,5d4c_EN-OL-RC-538_1.wav,67.0
5,5c42g_EN-OL-RC-538_1.wav,31.0
5,5b37c_EN-OL-RC-538_2.wav,52.9
5,5b17c_EN-OL-RC-538_2.wav,88.74
5,5a3f_EN-OL-RC-538_2.wav,96.76
5,5b41c_EN-OL-RC-538_1.wav,87.63
5,5a34k_EN-OL-RC-538_2.wav,80.61
5,5b28c_EN-OL-RC-538_1.wav,47.1
5,5a28k_EN-OL-RC-538_1.wav,88.77
5,5b21g_EN-OL-RC-538_2.wav,86.17
5,5a38d_EN-OL-RC-538_2.wav,100.0
5,5a30c_EN-OL-RC-538_2.wav,94.15
5,5a46k_EN-OL-RC-538_1.wav,28.59
5,5d44c_EN-OL-RC-538_2.wav,71.98
5,5a16k_EN-OL-RC-538_2.wav,44.11
5,5b30c_EN-OL-RC-538_1.wav,56.37
5,5b51g_EN-OL-RC-538_1.wav,58.96
5,5a24c_EN-OL-RC-538_2.wav,88.52
5,5c25c_EN-OL-RC-538_2.wav,100.0
5,5a38c_EN-OL-RC-538_1.wav,52.3
5,5a32c_EN-OL-RC-538_2.wav,100.0
5,5c11g_EN-OL-RC-538_2.wav,78.85
5,5b40g_EN-OL-RC-538_2.wav,77.91
5,5b18a_EN-OL-RC-538_2.wav,63.36
5,5c3b_EN-OL-RC-538_1.wav,94.51
5,5b51f_EN-OL-RC-538_1.wav,67.27
5,5c1c_EN-OL-RC-538_2.wav,95.83
5,5a5k_EN-OL-RC-538_1.wav,34.18
5,5b37g_EN-OL-RC-538_1.wav,96.17
5,5a19c_EN-OL-RC-538_2.wav,64.14
5,5a28c_EN-OL-RC-538_1.wav,80.58
5,5a13a_EN-OL-RC-538_1.wav,83.66
5,5b36c_EN-OL-RC-538_2.wav,44.13
5,5a3c_EN-OL-RC-538_1.wav,84.03
5,5a45c_EN-OL-RC-538_1.wav,48.12
5,5a48c_EN-OL-RC-538_1.wav,85.52
5,5b11a_EN-OL-RC-538_1.wav,66.39
5,5b44c_EN-OL-RC-538_2.wav,73.42
5,5a17g_EN-OL-RC-538_1.wav,43.16
5,5a19a_EN-OL-RC-538_2.wav,73.68
5,5a6k_EN-OL-RC-538_2.wav,90.13
5,5b47c_EN-OL-RC-538_2.wav,67.34
5,5b24c_EN-OL-RC-538_2.wav,67.84
5,5a11k_EN-OL-RC-538_2.wav,45.94
5,5a18k_EN-OL-RC-538_2.wav,57.22
5,5b5g_EN-OL-RC-538_1.wav,61.81
5,5b5c_EN-OL-RC-538_2.wav,57.83
5,5a17f_EN-OL-RC-538_2.wav,49.81
5,5a38f_EN-OL-RC-538_1.wav,68.87
5,5d6c_EN-OL-RC-538_2.wav,73.62
5,5b33g_EN-OL-RC-538_2.wav,90.93
5,5a47c_EN-OL-RC-538_2.wav,95.2
5,5a43j_EN-OL-RC-538_1.wav,87.39
5,5a32h_EN-OL-RC-538_2.wav,82.03
5,5d9c_EN-OL-RC-538_1.wav,72.39
5,5a21g_EN-OL-RC-538_1.wav,36.24
5,5c3c_EN-OL-RC-538_1.wav,99.08
5,5b4b_EN-OL-RC-538_2.wav,92.9
5,5b43c_EN-OL-RC-538_2.wav,34.12
5,5b36g_EN-OL-RC-538_1.wav,88.55
5,5d29g_EN-OL-RC-538_1.wav,60.54
5,5b10g_EN-OL-RC-538_1.wav,58.12
5,5b24g_EN-OL-RC-538_2.wav,96.0
5,5b42g_EN-OL-RC-538_2.wav,96.62
5,5b10g_EN-OL-RC-538_2.wav,81.32
5,5a38c_EN-OL-RC-538_2.wav,83.83
5,5b7a_EN-OL-RC-538_2.wav,77.62
5,5a20k_EN-OL-RC-538_2.wav,48.49
5,5c30a_EN-OL-RC-538_1.wav,37.93
