SpeakerID,Filename,SNR_dB
3a12e,3a12e_EN-OL-RC-234_2.wav,63.95
5b21g,5b21g_EN-OL-RC-538_2.wav,26.66
5a1f,5a1f_EN-OL-RC-538_1.wav,15.21
5a1f,5a1f_EN-OL-RC-538_2.wav,17.82
4b18g,4b18g_EN-OL-RC-426_2.wav,22.13
4b18g,4b18g_EN-OL-RC-426_1.wav,22.03
3d17g,3d17g_EN-OL-RC-234_2.wav,21.51
3d17g,3d17g_EN-OL-RC-234_1.wav,22.08
3d27g,3d27g_EN-OL-RC-234_2.wav,16.84
3a3f,3a3f_EN-OL-RC-234_1.wav,25.18
5a40c,5a40c_EN-OL-RC-538_2.wav,21.26
5a10c,5a10c_EN-OL-RC-538_1.wav,41.07
5a32h,5a32h_EN-OL-RC-538_2.wav,22.62
5a32h,5a32h_EN-OL-RC-538_1.wav,20.52
5a36a,5a36a_EN-OL-RC-538_2.wav,17.0
4a35g,4a35g_EN-OL-RC-426_2.wav,19.09
4a35g,4a35g_EN-OL-RC-426_1.wav,17.31
5b33g,5b33g_EN-OL-RC-538_2.wav,16.51
5c47a,5c47a_EN-OL-RC-538_1.wav,25.3
4a40k,4a40k_EN-OL-RC-426_2.wav,15.4
5a50c,5a50c_EN-OL-RC-538_1.wav,28.94
5a50c,5a50c_EN-OL-RC-538_2.wav,21.24
5b4b,5b4b_EN-OL-RC-538_2.wav,43.58
5b4b,5b4b_EN-OL-RC-538_1.wav,36.51
3c42g,3c42g_EN-OL-RC-234_1.wav,16.49
3a43g,3a43g_EN-OL-RC-234_1.wav,17.24
5c7g,5c7g_EN-OL-RC-538_1.wav,17.84
5c44c,5c44c_EN-OL-RC-538_1.wav,37.06
5c44c,5c44c_EN-OL-RC-538_2.wav,55.62
4a25f,4a25f_EN-OL-RC-426_2.wav,21.61
4a25f,4a25f_EN-OL-RC-426_1.wav,21.18
4c16g,4c16g_EN-OL-RC-426_2.wav,17.18
5b50c,5b50c_EN-OL-RC-538_2.wav,21.1
5b50c,5b50c_EN-OL-RC-538_1.wav,16.38
4a11g,4a11g_EN-OL-RC-426_1.wav,18.94
3b43g,3b43g_EN-OL-RC-234_2.wav,24.47
3b43g,3b43g_EN-OL-RC-234_1.wav,21.24
5a1a,5a1a_EN-OL-RC-538_1.wav,24.04
5a1a,5a1a_EN-OL-RC-538_2.wav,27.5
3d20g,3d20g_EN-OL-RC-234_2.wav,16.5
3d20g,3d20g_EN-OL-RC-234_1.wav,15.26
4b18k,4b18k_EN-OL-RC-426_2.wav,17.34
4b17g,4b17g_EN-OL-RC-426_1.wav,35.44
5b20f,5b20f_EN-OL-RC-538_1.wav,28.16
3b27c,3b27c_EN-OL-RC-234_1.wav,20.43
5b34f,5b34f_EN-OL-RC-538_1.wav,15.31
5b34f,5b34f_EN-OL-RC-538_2.wav,19.28
4a28a,4a28a_EN-OL-RC-426_2.wav,32.73
5b18a,5b18a_EN-OL-RC-538_2.wav,15.64
3a18c,3a18c_EN-OL-RC-234_2.wav,25.71
